id,vocab,meaning,pronounce
C446,平気,"Calm, Cool, All Right, Okay",へいき
C360,一本気,"One Track Mind, Single Mindedness",いっぽんぎ
C483,百万,"Million, One Million",ひゃくまん
C425,四百,Four Hundred,よんひゃく
C381,五百,Five Hundred,ごひゃく
C380,二百,Two Hundred,にひゃく
C492,竹,Bamboo,たけ
C493,竹の子,"Bamboo Shoot, Bamboo Sprout",たけのこ
C497,糸,Thread,いと
C500,耳,"Ear, Ears ",みみ
C508,虫,"Bug, Insect, Creepy Crawly ",むし
C463,村,"Village, Rural Town ",むら
C464,村人,Villager,むらびと
C477,男,Man,おとこ
C479,町,Town,まち
C503,花,Flower,はな
C504,花火,Fireworks,はなび
C505,花見,"Viewing Cherry Blossoms, Sakura Viewing, Cherry Blossom Viewing ",はなみ
C512,見る,"To See, To Look",みる
C511,見せる,To Show,みせる
C513,見方,"Way Of Seeing, Point Of View, Perspective, Viewpoint ",みかた
C460,月見,Moon Viewing,つきみ
C516,貝,"Shell, Shellfish, Clam",かい
C519,赤,Red,あか
C521,赤ちゃん,Baby,あかちゃん
C525,足りる,"To Be Enough, To Be Sufficient, To Suffice ",たりる
C524,足,"Foot, Leg ",あし
C366,不足,"Shortage, Insufficiency ",ふそく
C528,車,Car,くるま
C529,車内,"Inside The Car, Inside The Train, Inside The Bus",しゃない
C369,世,"World, Society, Age, Generation",よ
C378,二世,Second Generation,にせい
C362,三世,Third Generation,さんせい
C374,主に,"Mainly, Primarily",おもに
C375,主人,"Head Of Household, Husband, Head Of A Household, Head Of The Household, Landlord, Master ",しゅじん
C384,仕方,"Method, Way, Way Of Doing",しかた
C386,他,Other,ほか
C387,他人,"Another Person, Other People, Stranger",たにん
C389,代わる,"To Replace, To Substitute For, To Substitute, To Be Replaced, To Be Substituted, To Be Substituted For",かわる
C356,一代,"Lifetime, One Lifetime, Generation, One Generation",いちだい
C390,代用,Substitution,だいよう
C407,写す,"To Copy, To Photograph, To Take A Picture",うつす
C416,号,"Number, Edition, Model",ごう
C370,中央,"Center, Central, Centre ",ちゅうおう
C444,平ら,Flat,たいら
C445,平日,Weekdays,へいじつ
C454,打つ,"To Hit Something, To Pound Something, To Type",うつ
C358,一打,"One Strike, One Stroke, One Hit",いちだ
C471,氷,Ice,こおり
C354,かき氷,Shaved Ice,かきごおり
C475,申す,"To Say Humbly, To Say",もうす
C474,申し申し,"Excuse Me, Hello ",もうしもうし
C486,皿,"Plate, Dish",さら
C439,小皿,"Small Plate, Small Dish, Little Plate, Little Dish",こざら
C353,お礼,"Thanks, Gratitude",おれい
C365,不正,"Injustice, Dishonest, Unauthorized",ふせい
C431,子牛,"Calf, Baby Cow",こうし
C409,切手,"Postage Stamp, Stamp",きって
C448,年,"Year, Age ",とし
C418,名,"Name, Reputation ",な
C436,宝,Treasure,たから
C437,宝石,"Jewel, Gem",ほうせき
C520,赤い,Red,あかい
C480,白い,White,しろい
C482,百,"Hundred, One Hundred",ひゃく
C379,二十日,"Twentieth Day, Day Twenty, Twenty Days",はつか
C371,丸ごと,"In Its Entirety, Whole, Wholly, Entirely ",まるごと
C408,出かける,"To Go Out, To Leave ",でかける
C427,大気,Atmosphere,たいき
C413,口にする,"To Mention, To Say, To Eat, To Drink ",くちにする
C472,生きる,"To Live, To Be Alive, To Exist",いきる
C414,右手,"Right Hand, Right Arm, Right-Hand Side",みぎて
C424,四日,"Fourth Day, Day Four, Four Days",よっか
C421,四つ,Four Things,よっつ
C423,四千,Four Thousand,よんせん
C422,四十,Forty,よんじゅう
C441,左手,"Left Hand, Left Arm, Left-Hand Side",ひだりて
C488,石,Stone,いし
C699,見える,"To Be Visible, To Be In Sight, Can See, To Seem",みえる
C540,その他,"The Others, Other, Other Than That","そのほか, そのた"
C644,止まる,To Stop,とまる
C590,出す,"To Take Out, To Hand Out, To Remove, To Turn In, To Put Out ",だす
C669,立てる,"To Stand Something Up, To Make Something, To Set Something Up",たてる
C657,生む,"To Give Birth, To Produce",うむ
C584,入れる,"To Insert, To Put In",いれる
C546,上がる,"To Go Up, To Rise, To Be Raised, To Stop ",あがる
C591,分ける,"To Separate Something, To Divide Something, To Share Something, To Split Something",わける
C547,下がる,"To Get Lower, To Fall, To Drop, To Come Down, To Hang Down",さがる
C579,兄,"Older Brother, Big Brother, Elder Brother",あに
C661,皮,"Skin, Hide",かわ
C551,交ぜる,To Mix Something,まぜる
C611,大会,"Convention, Tournament, Event ",たいかい
C560,会う,"To Meet, To Encounter",あう
C582,光,"Light, Sunlight",ひかり
C583,光年,Light-year,こうねん
C634,月光,"Moonlight, Moonbeam ",げっこう
C633,日光,Sunlight,にっこう
C596,同じ,Same,おなじ
C597,同日,"Same Day, The Same Day",どうじつ
C535,〜回,"Times, Number Of Times, Time",かい
C600,回る,"To Revolve, To Go Around, To Rotate",まわる
C542,一回,"One Time, Once",いっかい
C554,今回,This Time,こんかい
C647,毎回,"Every Time, Each Time",まいかい
C609,多い,"Many, Much, Lots Of ",おおい
C610,多分,"Maybe, Perhaps, Probably",たぶん
C628,当たる,"To Be Right, To Be On Target, To Touch, To Hit ",あたる
C627,当たり,"A Success, Success, Hit, Guess",あたり
C650,毎月,"Every Month, Monthly","まいつき, まいげつ"
C649,毎日,"Every Day, Daily ",まいにち
C648,毎年,"Every Year, Yearly, Annually, Each Year","まいとし, まいねん"
C671,米,Rice,こめ
C674,羽,"Feathers, Feather, Wing, Wings",はね
C677,考える,"To Think About, To Consider, To Give Thought",かんがえる
C681,肉,Meat,にく
C655,牛肉,Beef,ぎゅうにく
C662,皮肉,"Irony, Sarcasm, Ironic, Sarcastic",ひにく
C684,自分,"Oneself, Myself, Self",じぶん
C685,自立,"Independence, Self Reliance, Independent ",じりつ
C688,色,Color,いろ
C689,色々,Various,いろいろ
C653,水色,"Sky Blue, Light Blue, Aqua Blue, Sky Blue Color, Light Blue Color, Aqua Blue Color",みずいろ
C695,行く,To Go,いく
C694,行き,"Train Direction, Bound For ","ゆき, いき"
C698,西,West,にし
C592,北西,Northwest,ほくせい
C569,何千,"Thousands, Several Thousands, How Many Thousands",なんぜん
C567,何,What,"なに, なん"
C568,何人,How Many People,なんにん
C573,何月,"What Month, Which Month ",なんがつ
C572,何日,"How Many Days, What Day, Which Day",なんにち
C571,何年,"What Year, How Many Years",なんねん
C570,何回,How Many Times,なんかい
C617,学ぶ,"To Learn, To Study In Depth, To Study",まなぶ
C619,学生,Student,がくせい
C618,学年,"School Grade, Grade In School, School Year, Year In School",がくねん
C585,入学,"School Admission, University Admission, Entry Into School, Enrollment",にゅうがく
C621,工学,Engineering,こうがく
C615,大学,"University, College, Uni",だいがく
C556,休学,"Absence From School, School Absence",きゅうがく
C643,林,"Forest, Grove",はやし
C667,空気,"Air, Atmosphere, Mood",くうき
C666,空,Sky,そら
C720,金,Gold,きん
C721,金玉,Testicles,きんたま
C539,お金,Money,おかね
C724,雨,Rain,あめ
C727,青い,"Blue, Unripe ",あおい
C728,青年,"Youth, Young Man ",せいねん
