id,vocab,meaning,pronounce
C7502,飢える,"To Starve, To Thirst, To Be Hungry",うえる
C7505,餓死,"Death From Starvation, Starving To Death ",がし
C7432,畜産,Animal Husbandry,ちくさん
C7385,家畜,"Domestic Animals, Livestock, Cattle",かちく
C7431,畜生,"Damn It, Beast, Son Of A Bitch",ちくしょう
C7482,迅速,"Quick, Fast, Rapid, Swift",じんそく
C7509,騎士,Knight,きし
C7511,騎馬,"Riding A Horse, Mounted, Equestrian",きば
C7510,騎手,Jockey,きしゅ
C7508,騎兵,Cavalry,きへい
C7388,尽きる,"To Be Used Up, To Be Exhausted, To Run Out ",つきる
C7429,理不尽,"Unreasonable, Irrational",りふじん
C7389,尽力,"Efforts, Assistance ",じんりょく
C7394,彩る,"To Color Something, To Color",いろどる
C7453,色彩,Color,しきさい
C7484,迷彩,"Camouflage, Camo ",めいさい
C7413,水彩画,Watercolor Painting,すいさいが
C7415,油彩,Oil Painting,ゆさい
C7463,記憶,"Memory, Recollection",きおく
C7402,憶測,"Guess, Speculation",おくそく
C7418,溶かす,"To Melt Something, To Melt ",とかす
C7419,溶岩,Lava,ようがん
C7414,水溶性,Water Soluble,すいようせい
C7442,耐える,"To Endure, To Withstand ",たえる
C7397,忍耐,"Endurance, Perseverance ",にんたい
C7445,耐熱,"Heat Resisting, Heat Resistant",たいねつ
C7444,耐火,Fireproof,たいか
C7443,耐久性,Durability,たいきゅうせい
C7474,踊る,To Dance,おどる
C7472,踊り,Dance,おどり
C7473,踊り場,"Dance Hall, Dance Floor ",おどりば
C7434,盆踊り,"Bon Festival Dance, Bon Odori, Lantern Festival Dance",ぼんおどり
C7468,賢い,"Clever, Intelligent ",かしこい
C7469,賢人,"Sage, Wise Person",けんじん
C7423,炊く,"To Cook, To Boil, To Cook Grains ",たく
C7470,賢明,"Wise, Sensible",けんめい
C7477,輝く,"To Shine, To Glitter, To Sparkle ",かがやく
C7371,光輝,"Brightness, Splendor",こうき
C7478,輝度,"Luminance, Brightness",きど
C7514,麻,"Cannabis, Hemp",あさ
C7384,大麻,"Marijuana, Cannabis ",たいま
C7515,麻酔,"Anesthesia, Anaesthesia ",ますい
C7422,灯り,"Lamp, Light, Torch",あかり
C7461,街灯,"Streetlight, Street Lamp",がいとう
C7497,電灯,"Electric Light, Lamp, Electric Lamp",でんとう
C7374,咲く,"To Bloom, To Blossom",さく
C7487,遅咲き,"Late Flower, Late Blooming ",おそざき
C7483,返り咲き,"Comeback, Second Bloom",かえりざき
C7377,培う,"To Cultivate, To Foster ",つちかう
C7378,培養,"Cultivation, Nurture",ばいよう
C7400,悔しい,"Regrettable, Vexing, Annoying ",くやしい
C7396,後悔,"Regret, Repentance",こうかい
C7450,脇,"Armpit, Under One's Arm ",わき
C7452,脇見,"Looking Away, Looking Aside",わきみ
C7451,脇役,"Supporting Actor, Supporting Role, Minor Role",わきやく
C7409,未遂,Attempt,みすい
C7486,遂行,"Accomplishment, Execution",すいこう
C7427,班,"Squad, Group, Party, Team",はん
C7506,首班,"Head, Leader ",しゅはん
C7428,班長,"Squad Leader, Honcho, Team Leader, Group Leader",はんちょう
C7381,塗布,"Application, Coating",とふ
C7380,塗る,"To Paint, To Plaster, To Lacquer, To Spread",ぬる
C7383,塗装,"Coating, Painting",とそう
C7382,塗料,"Paints, Painting Material",とりょう
C7405,斜め,"Diagonal, Slanting, Tilted ",ななめ
C7407,斜面,"Slant, Slope ",しゃめん
C7406,斜体,"Italics, Italic Font Style ",しゃたい
C7411,殴る,"To Punch, To Strike, To Hit",なぐる
C7412,殴打,"Hit, Strike, Blow",おうだ
C7436,盾,Shield,たて
C7437,矛盾,Contradiction,むじゅん
C7395,後ろ盾,"Backing, Support, Backer, Supporter",うしろだて
C7372,収穫,"Harvest, Crop",しゅうかく
C7643,蹴る,"To Kick, To Reject",ける
C7519,一蹴する,"To Kick, To Reject, To Flatly Reject, To Brush Aside, To Easily Beat",いっしゅうする
C7604,炊ける,"To Be Cooked, To Be Boiled, To Be Done Cooking ",たける
C7615,砕ける,"To Be Smashed, To Be Shattered, To Break ",くだける
C7641,貨幣価値,Currency Value,かへいかち
C7520,不明瞭,"Dimness, Obscurity, Unclear, Unintelligible",ふめいりょう
C7598,浸透,"Permeation, Soaking, Osmosis",しんとう
C7618,粘り,Stickiness,ねばり
C7516,お婆ちゃん,"Granny, Grandma, Old Lady, Old Woman ",おばあちゃん
C7572,憎らしい,Hateful,にくらしい
C7571,憎しみ,Hatred,にくしみ
C7570,憎い,"Hateful, Abominable, Detestable",にくい
C7574,扇,Folding Fan,おうぎ
C7550,団扇,"Fan, Uchiwa",うちわ
C7582,挿入する,To Insert,そうにゅうする
C7661,駒,"Chess Piece, Shogi Piece, Game Piece ",こま
C7620,紫,Purple,むらさき
C7621,紫外線,Ultraviolet Rays,しがいせん
C7622,紫色,"Violet, Purple",むらさきいろ
C7577,抽象,"Abstract, Abstraction",ちゅうしょう
C7578,抽選,"Lottery, Raffle",ちゅうせん
C7576,抽出,"Extraction, Selection, Sampling, Abstraction",ちゅうしゅつ
C7637,誓い,"Vow, Oath ",ちかい
C7638,誓約,"Vow, Pledge, Oath, Covenant",せいやく
C7567,悟る,To Realize,さとる
C7634,覚悟,"Resolution, Readiness, Preparedness, Resignation",かくご
C7646,開拓,"Reclamation, Cultivation, Pioneering ",かいたく
C7581,拘置,"Detention, Confinement",こうち
C7617,礎,"Foundation, Cornerstone ",いしずえ
C7551,基礎,"Foundation, Fundamentals",きそ
C7663,鶴,Crane,つる
C7529,刈る,"To Prune, To Mow, To Cut",かる
C7626,草刈り,Mowing,くさかり
C7528,刈り取る,"To Mow, To Reap, To Harvest",かりとる
C7532,剛健,"Vigor, Vigour, Virility ",ごうけん
C7546,唯,"Solely, Only, Merely, Simply, Just",ただ
C7547,唯一,"Only, Sole, Unique","ゆいつ, ゆいいつ"
C7548,唯物論,Materialism,ゆいぶつろん
C7553,壇,"Podium, Platform ",だん
C7624,花壇,Flower Bed,かだん
C7521,仏壇,Buddhist Altar,ぶつだん
C7561,尼僧,"Nun, Priestess",にそう
C7560,尼,Nun,あま
C7594,気概,"Strong Spirit, Backbone ",きがい
C7591,概算,"Approximation, Rough Estimate ",がいさん
C7590,概念,"General Idea, Concept, Notion ",がいねん
C7592,概要,"Outline, Summary ",がいよう
C7554,大概,"In General, Mainly, Mostly ",たいがい
C7518,一概に,"Unconditionally, As A Rule ",いちがいに
C7596,浸る,"To Be Soaked In, To Be Submerged, To Be Flooded",ひたる
C7597,浸水,"Submersion, Flood",しんすい
C7523,侵食,"Erosion, Corrosion",しんしょく
C7600,淡い,"Faint, Pale",あわい
C7601,淡水,Fresh Water,たんすい
C7607,煮る,"To Boil Something, To Simmer Something",にる
C7659,雑煮,"New Year's Dish, Mochi Soup",ぞうに
C7608,煮物,"Boiled Foods, Stewed Foods ",にもの
C7632,覆る,"To Be Overturned, To Be Reversed, To Be Retracted, To Topple Over",くつがえる
C7633,覆面,Mask,ふくめん
C7644,転覆,"Capsizing, Overturn ",てんぷく
C7640,謀る,"To Conspire, To Plot",はかる
C7605,無謀,"Reckless, Thoughtless, Unpremeditated",むぼう
C7650,陰謀,Conspiracy,いんぼう
C7652,陶器,"Pottery, Ceramics",とうき
C7653,陶芸,"Ceramic Art, Ceramics",とうげい
C7658,隔離,"Isolation, Quarantine",かくり
C7657,隔週,Every Other Week,かくしゅう
C7647,間隔,"Space, Interval, Gap",かんかく
C7656,隔月,Every Other Month,かくげつ
C7655,隔てる,"To Isolate, To Partition, To Separate",へだてる
C7645,遠征,"Expedition, Campaign",えんせい
C7563,征服,"Conquest, Subjugation",せいふく
C7649,陛下,"Your Majesty, His Majesty, Her Majesty",へいか
C7526,俗語,"Colloquialism, Colloquial Language",ぞくご
C7593,民俗,"Folk Customs, Ethnic Customs",みんぞく
C7525,俗,"Slang, Common, Vulgar, Local Manners, Local Customs, Mundane",ぞく
C7586,桑,"Mulberry Tree, Mulberry ",くわ
C7587,桑原,Mulberry Field,くわばら
C7588,桑畑,"Mulberry Field, Mulberry Plantation",くわばたけ
C7603,潤う,"To Be Moist, To Be Damp, To Be Watered",うるおう
C7530,利潤,"Profit, Returns",りじゅん
C7584,数珠,"Rosary, Prayer Beads",じゅず
C7611,珠算,Calculation With Abacus,しゅざん
C7614,真珠,Pearl,しんじゅ
C7629,衰える,"To Decline, To Decay, To Become Weak, To Wither",おとろえる
C7623,老衰,"Senility, Senile Decay",ろうすい
C7583,推奨,"Recommendation, Endorsement",すいしょう
C7556,奨学金,"Scholarship, Stipend",しょうがくきん
C7536,劣化,"Deterioration, Degradation ",れっか
C7537,劣悪,"Inferiority, Coarseness ",れつあく
C7538,劣等感,"Inferiority Complex, Sense Of Inferiority",れっとうかん
C7535,劣る,To Be Inferior To,おとる
C7540,勘,"Intuition, Perception, Hunch",かん
C7542,勘案,"Taking Into Consideration, Giving Consideration",かんあん
C7541,勘弁,"Pardon, Forgiveness ",かんべん
C7533,割り勘,"Splitting The Cost, Splitting The Bill",わりかん
C7543,勘違い,"Misunderstanding, Wrong Guess ",かんちがい
C7609,王妃,Queen,おうひ
C7613,皇太子妃,Crown Princess,こうたいしひ
C7558,妃,Princess,ひ
C7565,恨み,"Grudge, Resentment, Malice ",うらみ
C7544,哀れむ,"To Pity, To Have Mercy On",あわれむ
C7573,憩い,Rest,いこい
C7635,詐欺師,"Swindler, Con Artist, Scammer ",さぎし
C7625,花柳界,"Red Light District, Pleasure Quarters, World Of The Geisha",かりゅうかい
C7522,休憩所,"Rest Area, Rest Stop",きゅうけいじょ
C7517,お疲れ様,"Thank You, That's Enough For Today, Good Work",おつかれさま
C7569,慌てる,"To Panic, To Hurry, To Rush, To Be Upset ",あわてる
C7564,恐慌,"Panic, Scare ",きょうこう
C7746,煮える,"To Be Boiled, To Be Cooked ",にえる
C7735,溶ける,"To Melt, To Dissolve, To Thaw ",とける
C7714,悪賢い,"Devious, Cunning, Crafty, Wily",わるがしこい
C7771,輝き,Radiance,かがやき
C7761,蟹,Crab,かに
C7790,鰐,"Alligator, Crocodile",わに
C7788,鬱陶しい,"Gloomy, Gloomy Mood, Depressing",うっとうしい
C7705,峰,"Summit, Peak, Ridge ",みね
C7772,連峰,Mountain Range,れんぽう
C7707,巧い,"Adept, Skillful, Clever ",うまい
C7708,巧妙,"Ingenious, Skillful ",こうみょう
C7782,風邪,"Cold, Common Cold",かぜ
C7777,邪魔,"Hindrance, Intrusion",じゃま
C7776,邪,"Wicked, Evil ",よこしま
C7667,下駄,"Geta, Japanese Wooden Clogs",げた
C7785,駄目,"Not Good, Hopeless, Cannot, Not Allowed",だめ
C7745,無駄,"Futility, Uselessness, Pointlessness ",むだ
C7688,唐突,"Sudden, Unexpected",とうとつ
C7727,法廷,Courtroom,ほうてい
C7702,宮廷,"Imperial Court, Royal Court",きゅうてい
C7685,名簿,"Register Of Names, List Of Names, Roll",めいぼ
C7709,帳簿,"Account Book, Register",ちょうぼ
C7762,表彰,"Public Acknowledgement, Public Recognition ",ひょうしょう
C7742,漫画,"Manga, Japanese Comics",まんが
C7741,漫才,"Comic Dialogue, Two Man Comedy Act",まんざい
C7764,訂正,"Correction, Revision",ていせい
C7721,改訂版,Revised Edition,かいていばん
C7767,諮問,"Question, Enquiry",しもん
C7766,諮る,"To Consult With, To Discuss, To Confer",はかる
C7715,感銘,Deep Impression,かんめい
C7781,銘柄,"Brand, Make",めいがら
C7780,銘々,"Each, Individual ",めいめい
C7693,堰,Dam,せき
C7690,堤,"Embankment, Bank, Dike",つつみ
C7682,公告,"Public Notice, Public Announcement",こうこく
C7691,堤防,"Embankment, Bank, Levee ",ていぼう
C7737,漂う,"To Drift, To Waft",ただよう
C7738,漂流,"Drifting, Drift",ひょうりゅう
C7739,漂着,Drifting Ashore,ひょうちゃく
C7756,翻意,"Change One's Mind, Change Your Mind",ほんい
C7757,翻訳,Translation,ほんやく
C7755,翻る,"To Billow, To Flutter, To Suddenly Change",ひるがえる
C7769,軌跡,"Tire Track, Path One Has Taken",きせき
C7770,軌道,"Orbit, Trajectory",きどう
C7750,皇后,Japanese Empress,こうごう
C7759,興奮,"Excitement, Stimulation ",こうふん
C7701,奮起,"Stirring, Rousing Oneself",ふんき
C7665,〜亭,"Restaurant, Traditional Japanese Restaurant, Inn, Pavilion, Tea House",てい
C7671,仰ぐ,"To Look Up At, To Look Up To",あおぐ
C7670,仰々しい,"Pompous, Exaggerated",ぎょうぎょうしい
C7672,仰天,"Taken Aback, Amazed, Horrified, Flabbergasted",ぎょうてん
C7677,信仰,Religious Faith,しんこう
C7674,伯,"Chief, Count, Earl",はく
C7675,伯母,Aunt,おば
C7679,偶に,"Occasionally, Once In A While ",たまに
C7680,偶然,"By Chance, Unexpectedly, Coincidence ",ぐうぜん
C7778,配偶者,"Spouse, Partner",はいぐうしゃ
C7734,淀川,Yodogawa,よどがわ
C7683,古墳,"Ancient Tomb, Kofun ",こふん
C7695,墳墓,"Grave, Tomb",ふんぼ
C7697,壮大,"Magnificent, Grand, Epic",そうだい
C7698,壮年,Prime Of Life,そうねん
C7699,壮行,Rousing,そうこう
C7666,〜把,"Counter For Bundles, Counter for Bunches ",わ
C7717,把握,"Grasp, Catch ",はあく
C7774,運搬,"Transport, Carriage ",うんぱん
C7720,搬送,Transportation,はんそう
C7719,搬出,Carry Out,はんしゅつ
C7732,液晶,Liquid Crystal,えきしょう
C7726,水晶,Crystal,すいしょう
C7729,洞,"Cave, Den ",ほら
C7752,空洞,"Hollow, Cavity, Cave",くうどう
C7730,洞穴,"Cave, Den ","どうけつ, ほらあな"
C7747,生涯,"One's Lifetime, One's Career",しょうがい
C7723,検疫,Quarantine,けんえき
C7681,免疫,"Immunity, Immunization",めんえき
C7749,疫病,"Infectious Disease, Plague, Epidemic ",えきびょう
C7758,脅す,To Threaten,おどす
C7783,飢え,"Hunger, Starvation",うえ
C7703,尽くす,"To Exhaust Something, To Run Out, To Do To Exhaustion, To Devote Oneself",つくす
C7711,彩り,"Coloring, Color Scheme, Makeup",いろどり
C7713,悔やむ,"To Regret, To Mourn, To Lament",くやむ
C7724,殴り合い,"Fistfight, Fist Fight",なぐりあい
C7725,殴り込み,Raid,なぐりこみ
C7773,遂げる,"To Accomplish, To Achieve, To Carry Out",とげる
C7791,麻布,"Hemp Cloth, Linen",あさぬの
C7787,鬱気,"Gloomy, Melancholy, Gloominess",うっき
C7676,伯父,Uncle,おじ
C7743,灯る,"To Burn, To Be Lighted, To Be Lit, To Be Burning",ともる
C7744,無邪気,"Innocence, Simple Mindedness, Innocent, Simple Minded, Naive",むじゃき
C7851,煎る,"To Roast, To Toast",いる
C7798,亮平,Ryohei,りょうへい
C7802,偉人,"Great Person, Great Man, Hero ",いじん
C7803,偉大,"Greatness, Grand, Outstanding ",いだい
C7801,偉い,"Great, Excellent, Admirable, Remarkable",えらい
C7805,勘定,"Calculation, Counting, Allowance, Payment, Bill, Check",かんじょう
C7809,召す,"To Respectfully Call, To Respectfully Invite, To Respectfully Eat, To Respectfully Drink ",めす
C7813,喚起,"Awaken, Rouse, Evoke, Excite",かんき
C7812,喚く,"To Shout, To Scream ",わめく
C7810,召喚,"Summon, Summons",しょうかん
C7816,塚,"Mound, Burial Mound ",つか
C7820,愛媛県,Ehime Prefecture,えひめけん
C7823,慈悲,"Compassion, Benevolence, Charity, Mercy",じひ
C7824,慈愛,"Affection, Kindness, Love",じあい
C7822,慈善,"Charity, Philanthropy",じぜん
C7827,挟む,"To Put Between, To Sandwich, To Insert",はさむ
C7830,枯渇,"Drying Up, Dry Up, Running Dry",こかつ
C7829,枯れる,"To Wither, To Die",かれる
C7834,沸く,"To Boil, To Grow Hot, To Get Excited ",わく
C7835,沸点,Boiling Point,ふってん
C7842,浦,"Bay, Inlet",うら
C7843,浸す,"To Soak, To Steep, To Dip",ひたす
C7845,渦,"Whirlpool, Eddy, Vortex ",うず
C7846,渦中,"Vortex, Maelstrom",かちゅう
C7847,潤い,"Moisture, Richness, Wetness",うるおい
C7839,洗濯機,"Washing Machine, Laundry Machine ","せんたくき, せんたっき"
C7840,洗濯粉,Detergent,せんたくこ
C7838,洗濯屋,"Dry Cleaners, Laundromat",せんたくや
C7796,乾燥,"Dehydration, Dryness",かんそう
C7850,焦燥,"Impatience, Uneasy, Irritation",しょうそう
C7856,玄関,"Entranceway, Entry Hall, Foyer, Entryway ",げんかん
C7855,玄米,"Unpolished Rice, Unmilled Rice, Brown Rice ",げんまい
C7858,瓶,"Bottle, Jar",びん
C7877,花瓶,"Vase, Flower Vase",かびん
C7862,空き瓶,Empty Bottle,"あきびん, からびん"
C7849,火炎瓶,Molotov Cocktail,かえんびん
C7859,瓶詰,"Bottling, Bottled",びんづめ
C7864,耕す,"To Till, To Plow, To Plough, To Cultivate",たがやす
C7866,耕地,Arable Land,こうち
C7865,耕作,"Cultivation, Farming",こうさく
C7895,農耕,"Farming, Agriculture",のうこう
C7868,聡い,"Smart, Sensitive, Discerning",さとい
C7869,聡明,"Wise, Intelligent, Wisdom",そうめい
C7872,肯定,"Positive, Affirmation",こうてい
C7875,脂肪,"Fat, Grease, Blubber",しぼう
C7832,樹脂,Resin,じゅし
C7860,皮膚,Skin,ひふ
C7807,又,"Again, And Also, Or ",また
C7879,苗,Seedling,なえ
C7880,苗字,"Surname, Family Name",みょうじ
C7882,蓮,Sacred Lotus,はす
C7883,蓮花,"Lotus Flower, Lotus ",れんげ
C7886,覆う,"To Cover, To Hide, To Conceal ",おおう
C7890,貞節,"Chastity, Virtue, Fidelity ",ていせつ
C7889,貞操,"Chastity, Virtue, Fidelity ",ていそう
C7794,不貞,"Unfaithful, Infidelity",ふてい
C7892,軒,"Eaves, Stand In A Row, Stand Side By Side",のき
C7792,〜軒,"House Counter, Counter For Houses, Counter For Buildings",けん
C7831,柔軟,"Flexible, Pliable",じゅうなん
C7894,軟禁,House Arrest,なんきん
C7861,私邸,Private Residence,してい
C7818,官邸,Official Residence,かんてい
C7804,公邸,Official Residence,こうてい
C7899,邸宅,"Mansion, Residence",ていたく
C7898,邸内,"Grounds, Premises",ていない
C7901,郊外,"Suburb, Outskirts",こうがい
C7896,近郊,"Suburbs, Outskirts",きんこう
C7903,郡,"District, County ",ぐん
C7905,釈明,"Explanation, Vindication",しゃくめい
C7836,注釈,"Notes, Comment, Remark, Annotation",ちゅうしゃく
C7799,会釈,"Nod, Greeting, Bow",えしゃく
C7887,解釈,"Explanation, Interpretation",かいしゃく
C7907,隅,"Corner, Nook, Recess",すみ
C7853,片隅,"Corner, Nook ",かたすみ
C7814,四隅,Four Corners,よすみ
C7908,隅々,"Nooks, Corners",すみずみ
C7793,〜隻,"Ship Counter, Counter For Ships",せき
C7911,頂く,"To Humbly Receive, To Humbly Accept, To Humbly Eat, To Humbly Drink",いただく
C7819,山頂,Summit,さんちょう
C7885,襟,"Collar, Lapel, Neck ",えり
C7837,洗濯する,"To Wash, To Do Laundry",せんたくする
C7825,慌ただしい,"Hurried, Hasty, Busy, Hectic, Frantic",あわただしい
C7795,世界恐慌,The Great Depression,せかいきょうこう
C7999,綾取り,Cat's Cradle,あやとり
C7998,綾乃,Ayano,あやの
C7941,大輔,"Daisuke, Taifu, Osuke","だいすけ, たいふ, おおすけ"
C8048,鰐蟹,WaniKani,わにかに
C7915,不倫,Adultery,ふりん
C7919,倫理,"Ethics, Morals",りんり
C7921,偏る,"To Be Biased, To Be One Sided, To Be Partial, To Be Prejudiced",かたよる
C7923,偏見,Prejudice,へんけん
C7922,偏狭,"Narrow Minded, Intolerance ",へんきょう
C7924,偏食,"Unbalanced Diet, Picky Eating ",へんしょく
C7991,示唆,"Suggestion, Hint, Implication ",しさ
C7936,噴火,Eruption,ふんか
C7937,噴煙,Volcanic Smoke,ふんえん
C7934,噴射,"Jet, Spray, Injection, Jet Propulsion",ふんしゃ
C7935,噴水,Water Fountain,ふんすい
C7933,噴出,"Spewing, Gushing, Spouting, Eruption ",ふんしゅつ
C7943,孤児,Orphan,こじ
C7944,孤島,Solitary Island,ことう
C7945,孤独,"Isolation, Loneliness, Solitude",こどく
C7946,孤立,"Isolation, Alone, Friendless",こりつ
C7953,怠惰,"Laziness, Idleness, Sloth",たいだ
C7952,怠る,"To Be Negligent, To Neglect, To Shirk, To Be Off One's Guard",おこたる
C7959,恒星,Star,こうせい
C7957,恒例,"Established Practice, Custom",こうれい
C7956,恒久,"Permanent, Perpetual",こうきゅう
C7958,恒常,"Constant, Routine",こうじょう
C7961,惰性,"Inertia, Habit, Momentum",だせい
C7964,我慢,"Endurance, Perseverance, Tolerance, Patience, Self Control",がまん
C8005,自慢,"Pride, Boast ",じまん
C8000,緩慢,"Slow, Sluggish, Dull",かんまん
C7954,怠慢,"Negligence, Procrastination, Carelessness",たいまん
C7963,慢性,Chronic,まんせい
C7970,擁護,"Protection, Advocacy, Support, Defence",ようご
C7966,抱擁,"Embrace, Hug ",ほうよう
C7969,擁立,"Backing, Support ",ようりつ
C7968,擁する,"To Have, To Possess ",ようする
C7983,特殊,"Special, Unique",とくしゅ
C7974,殊勝,Admirable,しゅしょう
C7977,没,"Discard, Reject, Death",ぼつ
C7979,没後,"After Death, Posthumously",ぼつご
C7965,戦没,"Killed In Action, Death In Battle, KIA",せんぼつ
C7975,沈没,"Sinking, Going Down, Submersion",ちんぼつ
C7971,日没,Sunset,にちぼつ
C7981,没頭,"Immersing Oneself, Immersing Yourself, Immerse Oneself, Immerse Yourself",ぼっとう
C7980,没落,"Ruin, Fall, Collapse",ぼつらく
C7938,埋没,"Implantation, Burial, Embedding",まいぼつ
C7928,出没,"Appearing Frequently, Infesting",しゅつぼつ
C7978,没収,"Forfeiture, Seizure, Confiscation, Impounding",ぼっしゅう
C7984,犠牲,"Victim, Sacrifice, Scapegoat",ぎせい
C7987,猟,"Hunting, Game",りょう
C7988,猟師,"Hunter, Huntsman ",りょうし
C7947,密猟,Poaching,みつりょう
C7985,狩猟,Hunting,しゅりょう
C7989,猟犬,"Hunting Dog, Hound",りょうけん
C7990,発祥,Origin,はっしょう
C7916,不祥事,Scandal,ふしょうじ
C7994,秩序,"Order, Regularity, System, Method",ちつじょ
C8047,食糧,"Provisions, Rations, Staple Foods",しょくりょう
C8003,膨大,"Huge, Bulky, Enormous, Extensive ",ぼうだい
C8002,膨れる,"To Swell, To Expand, To Be Inflated, To Distend, To Bulge",ふくれる
C8004,膨張,"Expansion, Swelling, Increase, Growth",ぼうちょう
C8008,芳香,"Perfume, Fragrance, Aroma",ほうこう
C8007,芳しい,"Sweet, Fragrant, Aromatic, Good",かんばしい
C8010,茨,"Thorn, Briar, Wild Rose ",いばら
C8013,覇気,"Ambition, Aspiration, Spirit",はき
C7929,制覇,"Conquest, Domination, Mastery ",せいは
C8012,覇権,"Hegemony, Supremacy ",はけん
C8014,覇者,"Supreme Ruler, Champion ",はしゃ
C8022,連覇,"Winning Streak, Consecutive Championships, Successive Victories ",れんぱ
C7912,〜貫,"Sushi Counter, Counter For Pieces Of Sushi ",かん
C7914,一貫,"One Piece Of Sushi, Consistency, Integration",いっかん
C8018,貫通,"Pierce, Penetrate, Perforate",かんつう
C8017,貫徹,"Persistence, Accomplishment, Carry Through, Perseverance, Realization, Realisation",かんてつ
C8016,貫く,"To Go Through, To Pierce, To Penetrate, To Persist, To Stick To ",つらぬく
C7995,突貫,"Charge, Rush ",とっかん
C8020,賠償,"Reparations, Compensation",ばいしょう
C7927,処遇,"Treatment, Dealing With ",しょぐう
C8027,遭遇,Encounter,そうぐう
C7949,待遇,"Treatment, Reception",たいぐう
C7925,優遇,"Preferential Treatment, Favorable Treatment",ゆうぐう
C7926,冷遇,"Cold Reception, Inhospitality ",れいぐう
C7939,境遇,"Environment, Circumstances ",きょうぐう
C8026,遭う,"To Meet, To Encounter",あう
C8028,遭難,"Disaster, Shipwreck, Accident, Being Stranded",そうなん
C8030,鎖,"Chain, Chains",くさり
C8031,鎖国,"National Isolation, Exclusion Of Foreigners",さこく
C7948,封鎖,"Blockade, Freezing",ふうさ
C8032,閉鎖,"Closing, Closure, Shutdown, Lockout, Unsociable",へいさ
C8023,連鎖,"Chain, Chaining, Connection",れんさ
C8034,陥る,"To Cave In, To Collapse, To Fall, To Trap",おちいる
C8035,陥没,"Cave In, Collapse, Sinking, Depression",かんぼつ
C8036,陥落,"Fall, Sinking, Surrender",かんらく
C7972,欠陥,"Defect, Fault, Deficiency, Deformity ",けっかん
C8040,陳腐,"Cliched, Stale, Hackneyed",ちんぷ
C8038,陳列,"Exhibition, Display, Show",ちんれつ
C8041,陳述,"Statement, Declaration, Allegation",ちんじゅつ
C8039,陳情,"Petition, Appeal ",ちんじょう
C8043,隼,Falcon,はやぶさ
C7950,必須,"Indispensable, Required, Essential",ひっす
C8046,颯と,"Quickly, Suddenly",さっと
C7913,お風呂,Bath,おふろ
C8169,諒一郎,Ryoichiro,りょういちろう
C8155,莉子,Riko,りこ
C8186,駿馬,"Fast Horse, Fine Horse","しゅんめ, しゅんば"
C8121,皮膚科,Dermatology,ひふか
C8120,皮膚病,Skin Disease,ひふびょう
C8165,襟元,"Collar, Front Of The Neck, Nape Of The Neck",えりもと
C8166,襟巻き,"Scarf, Muffler, Comforter",えりまき
C8052,丹誠,"Working Earnestly, Sincerity, Diligence, Effort",たんせい
C8051,丹念,"Diligent, Careful, Elaborate, Meticulous ",たんねん
C8089,批准,"Ratification, Ratify",ひじゅん
C8174,過剰,"Excess, Over ",かじょう
C8053,余剰,"Redundant, Surplus, Residue, Balance ",よじょう
C8057,剰余金,Surplus,じょうよきん
C8062,召し上がる,"To Respectfully Eat, To Respectfully Drink ",めしあがる
C8067,啓示,Revelation,けいじ
C8066,啓発,"Enlightenment, Development, Illumination, Education, Inspiration",けいはつ
C8068,啓蒙,"Enlightenment, Instruction ",けいもう
C8069,土壌,Soil,どじょう
C8076,平壌,Pyongyang,"へいじょう, ぴょんやん"
C8073,寛大,"Tolerance, Liberality, Leniency",かんだい
C8074,寛容,"Tolerance, Open Minded, Forbearance, Generous",かんよう
C8072,寛ぐ,"To Relax, To Feel At Home",くつろぐ
C8054,元帥,"General Of The Army, Marshal, Admiral",げんすい
C8131,総帥,"Commander, Leader, Fuhrer",そうすい
C8128,統帥,"Supreme Command, High Command ",とうすい
C8080,徐行,Going Slowly,じょこう
C8079,徐々,"Gradually, Steadily, Quietly, Slowly ",じょじょ
C8085,惨事,"Disaster, Horrible Accident",さんじ
C8082,悲惨,"Disastrous, Tragic, Miserable, Wretched, Pitiful",ひさん
C8084,惨め,"Miserable, Wretched, Unhappy, Sad",みじめ
C8086,惨敗,"Crushing Failure, Utterly Beaten, Overwhelming Defeat",ざんぱい
C8087,惨状,"Disastrous Scene, Terrible Spectacle ",さんじょう
C8092,披露,"Announcement, Show, Display, Introduction, Perform",ひろう
C8093,挟まる,"To Get Between, To Be Caught In",はさまる
C8095,据える,"To Install, To Place, To Fix, To Set, To Lay, To Seat",すえる
C8098,搭載,"Built In, Equipped With ",とうさい
C8097,搭乗,"Boarding, Embarkation",とうじょう
C8103,曙,"Dawn, Daybreak, Beginning",あけぼの
C8106,枯れ木,"Dead Tree, Dry Wood ",かれき
C8105,枯らす,"To Let Dry, To Kill, To Season",からす
C8108,沸かす,"To Boil, To Heat, To Excite",わかす
C8109,沸騰,"Boiling, Seething",ふっとう
C8145,自浄,"Self Purification, Self Cleansing",じじょう
C8112,浄化,"Purification, Cleanup",じょうか
C8113,浄土,Pure Land,じょうど
C8049,不浄,"Uncleanliness, Dirtiness, Impurity, Filthiness, Defilement",ふじょう
C8114,浄水,Clean Water,じょうすい
C8115,清浄,"Pure, Clean, Purity ","せいじょう, しょうじょう"
C8110,洗浄,"Washing, Cleaning, Laundering ",せんじょう
